Title,Company,Category,Remote,Seniority,Bottom salary,Top salary,Must haves,Nice to haves
Remote Java Developer (with AWS),SquareOne,Backend,1,Senior,21840,26880,"Java,Spring,AWS,Microservices","DDD,NoSQL,Python,Machine learning"
Młodszy Programista / Młodsza Programistka Java,Centralny Ośrodek Informatyki,Backend,1,Junior,8000,10000,"Java,JVM,Kotlin,Spring Boot,Liquibase",
Java Backend Developer,Comfortel,Backend,0,Mid,,,"Java,Spring","PostgreSQL,Angular,Git,SVN,Maven"
Senior Java Backend Developer,VHV Informatyka Sp. z o.o.,Backend,0,Senior,22000,30000,"Java,SQL,Git","Spring,JUnit,Jenkins"
Senior Full Stack Engineer (Java + React),N-iX,Fullstack,1,Senior,20237,24689,"Java,React,Java Spring,Scala,Spring Boot,Vue.js,Reactive JS,Selenium,JUnit,Protractor",Kotlin
Java Engineer (Kafka) - Remote,7N,Backend,1,Senior,26040,29400,"Java,Microservices,Docker,Kubernetes,Spring Boot,Apache Kafka,AWS",
Senior Java Developer,First Derivative,Backend,0,Senior,28560,36960,"Java,Spring Boot,Microservices,CI/CD Pipelines,SQL,REST,Unit testing","Linux,RabbitMQ,Git,Kafka,Kubernetes,Docker,NoSQL,DB2,Oracle DB,lombok,Gradle"
Software Engineer (Java/Kotlin),Allegro,Backend,0,Mid,12300,17600,"Java,Kotlin,Scala",
Senior Java Developer – financial industry,Sii Polska,Backend,0,Senior,21000,29400,"Java,DevOps,FIX",
Senior Software Engineer (Java/Kotlin),Allegro,Backend,0,Senior,16100,23200,".NET,Kotlin,Scala,Java",Event Sourcing
Mid/Senior Java AEM Developer,Dynamic Solutions,Backend,0,Mid,21000,31080,"Java,Java EE,Maven,HTTP,CI/CD,REST,REST API","Adobe Experience Manager,OSGi,Apache Sling,Docker"
Java Developer with French or German,Sollers Consulting,Backend,0,Junior,10200,17200,"Java,OOP,Design Patterns,Clean Code","Web Services,SOAP,Microservices,JMS,Spring"
Senior Java Engineer,AVENGA,Backend,1,Senior,26880,31080,"Java,Spring Boot,Kubernetes,Docker,AWS,Kafka,Event Sourcing",
Java Developer,Nekken Sp. z o.o.,Backend,0,Mid,10000,17000,"Java,Hibernate,Git,Spring Boot,Maven,SonarQube,IntelliJ IDEA,Docker Containers K8s,Rancher,OpenShift,Gitflow","Team player,Communication skills,Fast learner,Willingness to learn,Problem solving,Angular,Docker"
Senior Java Developer,Sollers Consulting,Backend,0,Senior,15400,23000,"Java,OOP,Design Patterns,Web Services,SOAP,Microservices,JMS,Clean Code,Spring","Hibernate,Git,Maven,Jenkins"
Java FullStack Developer,ITDS,Fullstack,0,Senior,16800,21840,"Java,J2EE,Hibernate,JUnit,Spring,Angular,JavaScript,JSON,XML,Microservices,SQL,Git,Maven","Jenkins,Sonar,UX design"
Remote Senior Java Developer,Matrix Global Services,Backend,1,Senior,25993,31192,"Java,C#","AWS,Cloud development"
Software Development Manager Java,Tesco Technology,Backend,0,Expert,28000,40000,"Java,Design Patterns,Testing,Spring,Spring Boot,Kubernetes,Cloud platform,SDLC,Team management,JVM,Kotlin,JUnit,Azure,DevOps,CI,CD pipelines,IaaC,Communication skills",
Tech Lead/Senior Java Engineer,Motorola Solutions Systems Polska,Backend,0,Expert,20000,25000,"Java,Spring Boot,Analytical skills,Microservices,REST API,Kubernetes,Docker,AWS,Azure,Automated testing","Networking,SIP,RTP,Angular"
Programista Java Developer,Solid MCG,Backend,0,Mid,8000,15000,"Java,SQL,Spring,Technologie REST,JPA,Hibernate,ActiveMQ,JMS,Maven","React,Angular,CSS,GWT,JavaFX,PostgreSQL,Gradle,QueryDSL"
Java Developer,Hays Poland,Backend,0,Mid,21840,25200,"Java,Jira,REST API,JSON,SOAP,Web service,XML","XSD,Apache Kafka,Git,Gerrit"
Senior Java Engineer,N-iX,Backend,1,Senior,22260,25093,"Java,Kotlin,Spring Framework,NoSQL,Protocols,REST API,gRPC,GraphQL,Apache Kafka,Docker,Kubernetes",
Senior Java Software Engineer,Motorola Solutions Systems Polska,Backend,0,Senior,18000,21000,"Java,Spring Boot,Kubernetes,Docker,Microservices,CI/CD","WebRTC,Azure Cloud,Git,GitHub"
Remote Senior Java Developer,Centralny Ośrodek Informatyki,Backend,1,Senior,17000,23000,Java,"Spring Framework,JPA,ORM,Hibernate,SOAP,REST API,GraphQL,Docker,Kubernetes,Liquibase,Maven,Gradle,Git,Jenkins,GitLab,Mockito,Spock,SSO,Keycloak,OWASP,RabbitMQ,Kafka,Tomcat,JBoss,WebLogic,WildFly"
Remote Senior Full Stack Engineer (Java),Varwise,Fullstack,1,Senior,30355,40474,"Java,Spring Boot,React,JavaScript,PostgreSQL,Neo4j,Linux,Redux,JVM","Kinesis,Jenkins,Datadog,Kafka,Kubernetes"
